
2000, -4153

4000, -20790

6000, 1365

8000, 1414

10000, 723

12000, 1522

14000, 1566

16000, 1630

18000, 1683

20000, 1714

22000, 1775

24000, 1829

26000, -14652

28000, 1911

30000, 1980

32000, 2026

34000, 1926

36000, 2099

38000, 2116

40000, 2193

42000, 2069

44000, 2294

46000, 2389

48000, 2431

50000, 2506

52000, 2509

54000, 2567

56000, 2648

58000, 2693

60000, 2654

62000, -29983

64000, 2855

66000, 2915

68000, 2860

70000, 3001

72000, 3036

74000, 2838

76000, 3089

78000, -29626

80000, 3129

82000, 3270

84000, -29437

86000, 3351

88000, 3392

90000, 3535

92000, 3359

94000, 394

96000, 3599

98000, 3630

100000, 3758

102000, -29008

104000, 3896

106000, 3866

108000, 3937

110000, 3880

112000, 3955

114000, 4093

116000, 4024

118000, -28809

120000, 4141

122000, -28565

124000, 4276
